"Timestamp","What is your current role? (Select all that apply)","How often do you use your computer for work or study in a day?","Which operating system do you primarily use?","How comfortable are you with using technology/software?","When you sit down to work or study, what’s the first thing you usually do on your computer?","At the end of a typical work/study day, what leaves you feeling most unproductive?","What are 3 things you wish could happen automatically on your computer to save you time?","Which of these do you often struggle with? (Select all that apply)","How often do you struggle to find files or documents on your computer?","How do you currently organize your files?","If an app could automatically organize your files into folders by project, client, class, or date - would that save you time","Think of your work/study week - what recurring task takes up too much of your time? (Preferably on you computer)","How do you currently schedule reminders or automate tasks?","What current app you use to do this? (Skip if answer for the last question wasn't ""I use current available apps"")","What’s one small, repetitive task you’d love your computer to handle automatically?","How aware are you of how you actually spend your time while working or studying on your computer?","Would seeing a weekly report showing which apps/websites you spent the most time on help you become more productive?","If you could wave a magic wand and make your desktop experience better, what would change?","How valuable would an “all-in-one personal automation assistant” be for you?","What concerns might stop you from using such an app?"
"2025/06/18 9:02:12 PM GMT+3","Student","Not often (1 - 3hrs)","Windows","3","Work on the assignment thats im task to.","Not reading what I had opted for","Operation system to transition smoothly ","Wasting time on distraction or irrelevant websites","Rarely","I create folders manually","Definitely","N/A","I don't have a system - I do things manually","N/A","Smooth transition withot OS failure. ","I honestly have no idea where my time goes","Yes, I would love that","Not sure.","Extremely valuable","Privacy/security"
"2025/06/18 9:04:35 PM GMT+3","Student","Often (3 - 7hrs)","Windows","5","I refresh cuz it's an old device then I open my browser.","I don't type at a speed of 70 words per minutes, I'm not too slow either but typing as always been something frustrating for me. I wish we could just talk then it writes but that feature is not accurate at the moment ","Processing speed, no bugs and my file explorer doesn't have a normal look. I wish I could show a picture of it.","Having too many tabs or windows open;Wasting time on distraction or irrelevant websites;Ads, ads, ads. ","Rarely","I create folders manually","Maybe","I spend too much time on YouTube instead of studying. Please make an app that can work like Respondus and block other apps or websites for me to concentrate, please","I used my calendar","Google calendar ","Remind me to do my task","I honestly have no idea where my time goes","Yes, I would love that","No ads, more reminders to which if I don't obey, YouTube and IG close","Somewhat valuable","Cost and privacy"
"2025/06/18 11:44:21 PM GMT+3","Student","Fairly often (7 - 12hrs)","macOS","4","Log in to school/work systems and softwares ","Incomplete work tasks ","-frequent task reminders
-step-by-step outline of how to complete tasks
-resources I may need to complete tasks ","Losing track of how much time I'm spending on tasks;Having too many tabs or windows open;Remembering to schedule follow-up emails or reminders;Wasting time on distraction or irrelevant websites","A few times a month","I just use search to find what I need","Definitely","","I use current available apps","Google Calendar, Alarm app on phone ","","I honestly have no idea where my time goes","Yes, I would love that","The Home Screen format. To be able to 
 to see and edit the tasks I have to complete on my Home Screen with the format still being organized ","Somewhat valuable","Cost"
"2025/06/19 1:59:16 AM GMT+3","Student","Fairly often (7 - 12hrs)","Windows","4","","","","Losing track of how much time I'm spending on tasks;Having too many tabs or windows open","A few times a month","I create folders manually","Definitely","","I don't have a system - I do things manually","","","I honestly have no idea where my time goes","Maybe, if it's easy to understand","","Somewhat valuable","Ease of use "
"2025/06/19 2:36:12 AM GMT+3","Student","Fairly often (7 - 12hrs)","Windows","4","word docx, excel sheets and browser","not completing all the tasks assigned for the day","backup automatically, via cloud, organize files by sort, and automatically log recent open files from my drive","Losing track of how much time I'm spending on tasks;My desktop/files feeling messy and disorganized;Forgetting to complete small repetitive tasks;Having too many tabs or windows open;Wasting time on distraction or irrelevant websites","Almost every day","I create folders manually","Definitely","","I use scripts or automation tools","python scripts","sending emails","I honestly have no idea where my time goes","Yes, I would love that","","Extremely valuable","Privacy/security"
"2025/06/19 7:30:27 AM GMT+3","Student","Fairly often (7 - 12hrs)","Windows","4","Check my emails ","","Update me on emails and summarize them ","My desktop/files feeling messy and disorganized;Forgetting to complete small repetitive tasks;Having too many tabs or windows open;Wasting time on distraction or irrelevant websites","A few times a week","I just use search to find what I need","Maybe","","I use to-do list apps","","","I have a rough idea","Yes, I would love that","","Extremely valuable","Cost"
"2025/06/19 9:31:03 AM GMT+3","Student","Very often (+12hrs)","Linux","5","Open Apple Music","Nothing ","Free RAM when I'm not using other apps
Speech to text easily","Forgetting to complete small repetitive tasks;Having too many tabs or windows open;Wasting time on distraction or irrelevant websites","Almost every day","I create folders manually","Not really","","I used my calendar","","","","","","",""
"2025/06/19 9:59:12 AM GMT+3","Student","Fairly often (7 - 12hrs)","Windows","4","open chrome","switching tabs","","My desktop/files feeling messy and disorganized;Having too many tabs or windows open;Remembering to schedule follow-up emails or reminders;Wasting time on distraction or irrelevant websites","A few times a week","I create folders manually","Maybe","","I used my calendar","","","I have a rough idea","Yes, I would love that","having a better folder system for all  my study materials","Extremely valuable","Cost"
"2025/06/19 4:27:59 PM GMT+3","Student","Very often (+12hrs)","Windows","2","Look for files ","","Searching for files ","My desktop/files feeling messy and disorganized;Forgetting to complete small repetitive tasks;Having too many tabs or windows open;Remembering to schedule follow-up emails or reminders;Wasting time on distraction or irrelevant websites","A few times a week","My files are pretty messy, I lose track often","Definitely","Looking for files ","I don't have a system - I do things manually","I use manually ","Looking for files","I honestly have no idea where my time goes","Yes, I would love that","Tracking down the time I spend on it","Extremely valuable","Learning how to use it"
"2025/06/19 4:30:07 PM GMT+3","Student","Often (3 - 7hrs)","Windows","5","Just read my notes","Distractions","Make searching faster","Wasting time on distraction or irrelevant websites","Never","I just use search to find what I need","Not really","Distractions like watching youtube vidoes ","I use current available apps","","Leave the distractions off ","I have a rough idea","Not really","","Not valuable","Privacy/security"
"2025/06/19 4:33:34 PM GMT+3","Student","Very often (+12hrs)","Linux","5","I check my email and also try and update and upgrade software in Linux using terminal ","If laptop hangs and if I easily get distracted on other websites ","1.Create a tracker of what I should do and status. 2.","Losing track of how much time I'm spending on tasks;My desktop/files feeling messy and disorganized;Forgetting to complete small repetitive tasks;Having too many tabs or windows open","A few times a week","I just use search to find what I need","Definitely","Searching for the right tools or resources to read","I use current available apps","","Create folders and organize files","I have a rough idea","Yes, I would love that","Sorting my files alphabetically and make things easier to find","Extremely valuable","Privacy/security"
"2025/06/19 4:34:18 PM GMT+3","Student","Often (3 - 7hrs)","macOS","5","","","","My desktop/files feeling messy and disorganized;Having too many tabs or windows open;Wasting time on distraction or irrelevant websites","Rarely","I create folders manually","Definitely","","I used my calendar","","","I have a rough idea","Yes, I would love that","","Extremely valuable","Privacy/security"
"2025/06/19 4:36:33 PM GMT+3","Student","Often (3 - 7hrs)","Windows","3","Put in my password and open the app I need to use-mostly chrome","","","My desktop/files feeling messy and disorganized;Wasting time on distraction or irrelevant websites","Rarely","My files are pretty messy, I lose track often","Definitely","","I don't have a system - I do things manually","","","I honestly have no idea where my time goes","Yes, I would love that","","Somewhat valuable","Cost"
"2025/06/19 4:42:56 PM GMT+3","Student;Entrepreneur","Very often (+12hrs)","Windows","2","Watch video","Watching","Read text for me, switch on and off","Losing track of how much time I'm spending on tasks","Almost every day","I create folders manually","Definitely","Typing","I use to-do list apps","No","Read text","I track it very closely","Yes, I would love that","No","Extremely valuable","Learning how to use it"
"2025/06/19 4:44:49 PM GMT+3","Student","Fairly often (7 - 12hrs)","Windows","4","Switch it on","Nothing ","Switch on and off 
Saving files ","Losing track of how much time I'm spending on tasks","Rarely","I use an app to help me stay organized","Maybe","None ","I use current available apps","","None ","I honestly have no idea where my time goes","Not really","No","Not valuable","I don’t believe automation will help me"
"2025/06/19 4:46:58 PM GMT+3","Student","Very often (+12hrs)","Windows","5","Look for music","Unproductivity","","Remembering to schedule follow-up emails or reminders;Wasting time on distraction or irrelevant websites","A few times a week","I just use search to find what I need","Definitely","A small screen","I don't have a system - I do things manually","","","I have a rough idea","Yes, I would love that","Maybe","Somewhat valuable","None, bring it on we see"
"2025/06/19 4:47:18 PM GMT+3","Student","Fairly often (7 - 12hrs)","Windows","5","Check emails","Social Media","","My desktop/files feeling messy and disorganized;Wasting time on distraction or irrelevant websites","Rarely","I create folders manually","Not really","","I use to-do list apps","","","I honestly have no idea where my time goes","Yes, I would love that","","Somewhat valuable","Privacy/security"
"2025/06/19 4:49:46 PM GMT+3","Student;Entrepreneur","Very often (+12hrs)","Windows","5","the first thing you usually do, is to open my computer ","","","Wasting time on distraction or irrelevant websites","Rarely","I create folders manually","Definitely","","I used my calendar","","","I honestly have no idea where my time goes","Maybe, if it's easy to understand","","Somewhat valuable","Cost"
"2025/06/19 4:50:55 PM GMT+3","Student;Professional","Very often (+12hrs)","Windows","5","Open Edge browser","Numerous documents and slides ","Summery of any documents I interact with","Forgetting to complete small repetitive tasks;Wasting time on distraction or irrelevant websites","A few times a month","I create folders manually","Definitely","Making reports","I used my calendar","","Meetings and tasks reminder","I have a rough idea","Yes, I would love that","Automatic hourly reminders","Extremely valuable","Privacy/security"
"2025/06/19 4:53:11 PM GMT+3","Student","Very often (+12hrs)","Windows","5","Power on the computer, then plan my day","When I haven't completed the task I set for the day","Have automatic schedule that is customizable to the task at hand","Losing track of how much time I'm spending on tasks","Rarely","I create folders manually","Definitely","Assignments and research ","I use to-do list apps","","Planning and scheduling ","I honestly have no idea where my time goes","Yes, I would love that","Have a time tracker","Extremely valuable","Privacy/security"
"2025/06/19 4:54:13 PM GMT+3","Student","Not often (1 - 3hrs)","macOS","3","Open my note ","","","Wasting time on distraction or irrelevant websites","Rarely","I create folders manually","Definitely","","I used my calendar","","","I honestly have no idea where my time goes","","","",""
"2025/06/19 4:58:53 PM GMT+3","Student","Fairly often (7 - 12hrs)","Windows","5","go on blackboard ","l dont know","not sure ","Losing track of how much time I'm spending on tasks;My desktop/files feeling messy and disorganized;Having too many tabs or windows open","A few times a week","I just use search to find what I need","Definitely","searching for files","I use to-do list apps","","nothing ","I have a rough idea","Yes, I would love that","everything ","Extremely valuable","Learning how to use it"
"2025/06/19 5:07:18 PM GMT+3","Student","Very often (+12hrs)","Windows","5","Browsing ","Social media platforms ","Keep showing me task I have set to complete daily and show progress ","Losing track of how much time I'm spending on tasks;Forgetting to complete small repetitive tasks;Having too many tabs or windows open;Remembering to schedule follow-up emails or reminders;Wasting time on distraction or irrelevant websites","Rarely","I create folders manually","Definitely","Class tasks ","I don't have a system - I do things manually","","Calendar reminder ","I honestly have no idea where my time goes","Yes, I would love that","","Extremely valuable","Cost"
"2025/06/19 5:08:02 PM GMT+3","Student","Fairly often (7 - 12hrs)","macOS","5","Find music to listen to or any form of background noise. ","If I haven’t ticked off at least 3 things off my to-do list. ","Organisation of my files into the deserving categories. ","Losing track of how much time I'm spending on tasks;My desktop/files feeling messy and disorganized;Having too many tabs or windows open","A few times a month","I create folders manually","Definitely","Organising into folders so that I don’t find myself with a cluttered desktop. ","I don't have a system - I do things manually","","File organisation. ","I have a rough idea","Maybe, if it's easy to understand","Less clutter on my desktop. ","Extremely valuable","Cost"
